lambda	U
629	0.0003
640	0.0009
643	0.0013
646	0.0021
649	0.0033
652	0.0045
655	0.0072
658	0.0114
661	0.021
663.2	0.0246
664	0.0231
667	0.0165
670	0.0090
673	0.0065
676	0.0035
679	0.0027
685	0.0009
700	0.0003

